Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
TNCO_ESDB1,NH,938,PRSE,Prunus serotina,1,0,0,0
TNCO_ESDB1,NH,938,QUIL,Quercus ilicifolia,11,0,0,0
TNCO_ESDB1,NH,937,NA,No species found,0,0,0,0
TNCO_ESDB1,NH,936,NA,No species found,0,0,0,0
APB_Humdinger,ALB,705,FRAL,Frangula alnus,2,2,2,0
APB_Humdinger,ALB,705,PRSE,Prunus serotina,1,0,0,0
APB_Humdinger,ALB,705,PRVI,Prunus virginiana,1,0,0,0
APB_Humdinger,ALB,704,NA,No species found,0,0,0,0
APB_Humdinger,ALB,703,PRSE,Prunus serotina,1,0,0,0
APB_Humdinger,ALB,703,QUIL,Quercus ilicifolia,1,0,0,0
APB_Humdinger,ALB,702,NA,No species found,0,0,0,0
APB_Humdinger,ALB,701,NA,No species found,0,0,0,0
APB_Humdinger,ALB,700,PRSE,Prunus serotina,2,0,0,0
APB_Humdinger,ALB,700,FRAL,Frangula alnus,1,0,0,0
APB_Humdinger,ALB,699,NA,No species found,0,0,0,0
APB_Humdinger,ALB,698,QUVE,Quercus velutina,2,0,0,0
APB_Humdinger,ALB,697,PRVI,Prunus virginiana,1,0,0,0
APB_Humdinger,ALB,697,PRSE,Prunus serotina,1,0,0,0
APB_Humdinger,ALB,696,QUCO,Quercus coccinea,6,0,6,0
APB_Humdinger,ALB,695,QUVE,Quercus velutina,1,0,0,0
APB_Humdinger,ALB,695,PRSE,Prunus serotina,2,0,0,0
APB_Humdinger,ALB,694,NA,No species found,0,0,0,0
APB_Humdinger,ALB,693,NA,No species found,0,0,0,0
APB_Humdinger,ALB,692,QUPR,Quercus prinoides,1,0,0,0
APB_Humdinger,ALB,692,PRSE,Prunus serotina,1,0,0,0
APB_Humdinger,ALB,691,QUCO,Quercus coccinea,2,0,0,0
APB_Humdinger,ALB,691,PRSE,Prunus serotina,2,0,0,0
APB_Humdinger,ALB,690,ACRU,Acer rubrum,2,0,2,0
APB_Humdinger,ALB,689,QUIL,Quercus ilicifolia,2,0,0,0
APB_Humdinger,ALB,688,QUPR,Quercus prinoides,12,0,0,0
APB_Humdinger,ALB,687,NA,No species found,0,0,0,0
APB_Humdinger,ALB,686,QUIL,Quercus ilicifolia,1,0,0,0
APB_Humdinger,ALB,685,QUPR,Quercus prinoides,1,0,0,0
APB_Humdinger,ALB,684,NA,No species found,0,0,0,0
APB_Humdinger,ALB,683,NA,No species found,0,0,0,0
APB_Humdinger,ALB,682,QUCO,Quercus coccinea,1,0,0,0
APB_Bivy,ALB,750,QUIL,Quercus ilicifolia,1,0,0,0
APB_Bivy,ALB,749,NA,No species found,0,0,0,0
APB_Bivy,ALB,748,QUPR,Quercus prinoides,2,0,0,0
APB_Bivy,ALB,748,QUIL,Quercus ilicifolia,1,0,0,0
APB_Bivy,ALB,747,QUPR,Quercus prinoides,7,0,0,0
APB_Bivy,ALB,747,PRSE,Prunus serotina,1,0,0,0
APB_Bivy,ALB,746,NA,No species found,0,0,0,0
APB_Bivy,ALB,745,NA,No species found,0,0,0,0
APB_Bivy,ALB,744,NA,No species found,0,0,0,0
APB_Bivy,ALB,743,PIRI,Pinus rigida,1,0,0,0
APB_Bivy,ALB,742,QUIL,Quercus ilicifolia,1,0,0,0
APB_Bivy,ALB,741,QUIL,Quercus ilicifolia,1,0,0,0
APB_Bivy,ALB,740,NA,No species found,0,0,0,0
APB_Bivy,ALB,739,QUIL,Quercus ilicifolia,1,0,0,0
APB_Bivy,ALB,738,PIRI,Pinus rigida,15,0,15,0
APB_Bivy,ALB,737,NA,No species found,0,0,0,0
APB_Bivy,ALB,736,NA,No species found,0,0,0,0
APB_Bivy,ALB,735,QUPR,Quercus prinoides,24,0,0,0
APB_Bivy,ALB,734,PRSE,Prunus serotina,3,1,0,0
APB_Bivy,ALB,733,QUPR,Quercus prinoides,7,0,0,0
APB_Bivy,ALB,732,NA,No species found,0,0,0,0
APB_Bivy,ALB,731,NA,No species found,0,0,0,0
APB_Bivy,ALB,730,QUIL,Quercus ilicifolia,4,0,0,0
APB_Bivy,ALB,730,PRSE,Prunus serotina,1,0,0,0
APB_Bivy,ALB,729,NA,No species found,0,0,0,0
APB_Alleycat,ALB,866,QUIL,Quercus ilicifolia,3,0,0,0
APB_Alleycat,ALB,865,QUIL,Quercus ilicifolia,1,0,0,0
APB_Alleycat,ALB,865,QUPR,Quercus prinoides,2,0,0,0
APB_Alleycat,ALB,864,NA,No species found,0,0,0,0
APB_Alleycat,ALB,863,PRSE,Prunus serotina,2,0,0,1
APB_Alleycat,ALB,862,QUIL,Quercus ilicifolia,7,0,0,0
APB_Alleycat,ALB,861,PRSE,Prunus serotina,2,0,0,0
APB_Alleycat,ALB,860,QUIL,Quercus ilicifolia,3,0,0,0
APB_Alleycat,ALB,859,PRSE,Prunus serotina,1,1,0,0
APB_Alleycat,ALB,858,NA,No species found,0,0,0,0
APB_Alleycat,ALB,857,NA,No species found,0,0,0,0
APB_Alleycat,ALB,856,NA,No species found,0,0,0,0
APB_Alleycat,ALB,855,NA,No species found,0,0,0,0
