Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout
CE_B7_D,MA,509,SAAL,Sassafras albidum,2,0,0
CE_B7_D,MA,509,QUIL,Quercus ilicifolia,15,0,0
CE_B7_D,MA,509,QUPR,Quercus prinoides,1,0,0
CE_B7_D,MA,508,QUIL,Quercus ilicifolia,26,0,0
CE_B7_D,MA,508,ACRU,Acer rubrum,1,0,0
CE_B7_D,MA,507,AMSP,Amelanchier spp.,1,0,0
CE_B7_D,MA,507,QUIL,Quercus ilicifolia,3,0,0
CE_B7_D,MA,506,QUIL,Quercus ilicifolia,25,0,0
CE_B7_D,MA,506,QUPR,Quercus prinoides,1,0,0
CE_B7_D,MA,505,QUIL,Quercus ilicifolia,8,0,0
CE_B7_D,MA,505,QUPR,Quercus prinoides,2,0,0
CE_B7_D,MA,504,QUIL,Quercus ilicifolia,32,0,0
CE_B7_D,MA,503,AMSP,Amelanchier spp.,2,0,0
CE_B7_D,MA,503,QUIL,Quercus ilicifolia,7,0,0
CE_B7_D,MA,503,QUCO,Quercus coccinea,1,0,0
CE_B7_D,MA,502,SAAL,Sassafras albidum,18,0,0
CE_B7_D,MA,502,QUIL,Quercus ilicifolia,25,0,0
CE_B7_D,MA,502,QUAL,Quercus alba,1,0,0
CE_B7_D,MA,502,QUCO,Quercus coccinea,5,0,0
CE_B7_D,MA,501,QUIL,Quercus ilicifolia,19,0,0
CE_B7_D,MA,501,QUPR,Quercus prinoides,2,0,0
CE_B7_D,MA,501,QUCO,Quercus coccinea,4,0,0
CE_B7_D,MA,501,SAAL,Sassafras albidum,1,0,0
CE_B7_D,MA,500,QUIL,Quercus ilicifolia,15,0,0
CE_SWB_E1,MA,611,NA,No species found,0,0,0
CE_SWB_E1,MA,610,QUIL,Quercus ilicifolia,1,0,0
CE_SWB_E1,MA,609,QUCO,Quercus coccinea,1,0,0
CE_SWB_E1,MA,608,QUIL,Quercus ilicifolia,2,0,0
CE_SWB_E1,MA,608,QUVE,Quercus velutina,1,0,0
CE_SWB_E1,MA,607,NA,No species found,0,0,0
CE_SWB_E1,MA,606,QUIL,Quercus ilicifolia,13,0,0
CE_SWB_E1,MA,605,QUIL,Quercus ilicifolia,1,0,0
CE_SWB_E1,MA,604,NA,No species found,0,0,0
CE_SWB_E1,MA,603,QUIL,Quercus ilicifolia,1,0,0
CE_SWB_E1,MA,603,QUCO,Quercus coccinea,1,0,1
CE_SWB_E1,MA,602,QUIL,Quercus ilicifolia,3,0,0
CE_SWB_E1,MA,602,QUAL,Quercus alba,1,0,1
CE_SWB_E1,MA,601,SAAL,Sassafras albidum,1,0,0
CE_SWB_E1,MA,600,NA,No species found,0,0,0
CE_SWB_E1,MA,599,QUIL,Quercus ilicifolia,22,0,0
CE_SWB_E1,MA,598,QUIL,Quercus ilicifolia,9,0,0
CE_SWB_E1,MA,597,QUCO,Quercus coccinea,1,0,0
CE_SWB_E1,MA,597,SAAL,Sassafras albidum,2,0,0
CE_SWB_E1,MA,597,QUIL,Quercus ilicifolia,16,0,0
CE_SWB_E1,MA,597,QUVE,Quercus velutina,1,0,0
CE_SWB_E1,MA,596,QUIL,Quercus ilicifolia,6,0,0
CE_SWB_E1,MA,595,SAAL,Sassafras albidum,2,0,0
CE_SWB_E1,MA,594,QUCO,Quercus coccinea,1,0,0
CE_SWB_E1,MA,594,QUIL,Quercus ilicifolia,11,0,0
CE_SWB_E1,MA,593,QUIL,Quercus ilicifolia,11,0,0
CE_SWB_E1,MA,593,QUVE,Quercus velutina,2,0,2
CE_SWB_E1,MA,592,QUIL,Quercus ilicifolia,8,0,0
CE_SWB_E1,MA,591,QUCO,Quercus coccinea,3,0,0
Mashpee_C,MA,351,QUIL,Quercus ilicifolia,45,0,0
Mashpee_C,MA,352,QUIL,Quercus ilicifolia,29,0,0
Mashpee_C,MA,353,QUIL,Quercus ilicifolia,40,0,0
Mashpee_C,MA,354,QUIL,Quercus ilicifolia,15,0,0
Mashpee_C,MA,354,QUCO,Quercus coccinea,1,0,0
Mashpee_C,MA,355,QUIL,Quercus ilicifolia,18,0,0
Mashpee_C,MA,356,QUIL,Quercus ilicifolia,33,0,0
Mashpee_C,MA,357,QUIL,Quercus ilicifolia,61,0,0
Mashpee_C,MA,358,QUIL,Quercus ilicifolia,33,0,0
Mashpee_C,MA,358,QUPR,Quercus prinoides,1,0,0
Mashpee_C,MA,359,QUIL,Quercus ilicifolia,42,0,0
Mashpee_C,MA,360,QUIL,Quercus ilicifolia,32,0,0
Mashpee_C,MA,361,QUIL,Quercus ilicifolia,27,0,0
Mashpee_C,MA,362,QUIL,Quercus ilicifolia,20,0,0
Mashpee_C,MA,363,QUIL,Quercus ilicifolia,6,0,0
Mashpee_C,MA,364,QUIL,Quercus ilicifolia,21,0,0
Mashpee_C,MA,365,QUIL,Quercus ilicifolia,21,0,0
Mashpee_C,MA,366,QUAL,Quercus alba,2,0,2
Mashpee_C,MA,366,QUIL,Quercus ilicifolia,1,0,0
Mashpee_C,MA,367,QUIL,Quercus ilicifolia,9,0,0
Mashpee_C,MA,368,QUIL,Quercus ilicifolia,13,0,0
