Site,Region,Plot_No,Species_Code,Latin_Name,SP_Total_Cover
TNCW_7SW,ME,1004,CAPE,Carex pensylvanica,3
TNCW_7SW,ME,1004,GAPR,Gaultheria procumbens,1
TNCW_7SW,ME,1002,QUIL,Quercus ilicifolia,4
TNCW_7SW,ME,1002,VAMY,Vaccinium myrtilloides,5
TNCW_7SW,ME,1002,GAPR,Gaultheria procumbens,2
TNCW_7SW,ME,1002,CAPE,Carex pensylvanica,4
TNCW_7SW,ME,1000,QUIL,Quercus ilicifolia,2
TNCW_7SW,ME,1000,ACRU,Acer rubrum,2
TNCW_7SW,ME,1000,AMSP,Amelanchier spp.,1
TNCW_7SW,ME,1000,VAAN,Vaccinium angustifolium,5
TNCW_7SW,ME,1000,RUSP,Rubus species,2
TNCW_7SW,ME,1000,ARME,Aronia melanocarpa,2
TNCW_7SW,ME,1000,CAPE,Carex pensylvanica,2
TNCW_7SW,ME,1000,PTAQ,Pteridium aquilinum,3
TNCW_7SW,ME,1000,GAPR,Gaultheria procumbens,2
TNCW_7SW,ME,1000,MELI,Melampyrum lineare,1
TNCW_7SW,ME,998,QUIL,Quercus ilicifolia,5
TNCW_7SW,ME,998,ACRU,Acer rubrum,1
TNCW_7SW,ME,998,PRSE,Prunus serotina,1
TNCW_7SW,ME,998,VAAN,Vaccinium angustifolium,3
TNCW_7SW,ME,998,GAPR,Gaultheria procumbens,4
TNCW_7SW,ME,998,CAPE,Carex pensylvanica,1
TNCW_7SW,ME,998,PTAQ,Pteridium aquilinum,4
TNCW_7SW,ME,996,ACRU,Acer rubrum,1
TNCW_7SW,ME,996,KAAN,Kalmia angustifolium,3
TNCW_7SW,ME,996,VAAN,Vaccinium angustifolium,3
TNCW_7SW,ME,996,VAMY,Vaccinium myrtilloides,3
TNCW_7SW,ME,996,RUSP,Rubus species,2
TNCW_7SW,ME,996,LYQU,Lysimachia quadrifolia,2
TNCW_7SW,ME,996,CAPE,Carex pensylvanica,1
TNCW_7SW,ME,996,LYBO,Lysimachia borealis,2
TNCW_7SW,ME,996,GAPR,Gaultheria procumbens,2
TNCW_7SW,ME,996,VINU,Viburnum nudum var cassinoides,1
TNCW_7SW,ME,994,QUIL,Quercus ilicifolia,4
TNCW_7SW,ME,994,GAPR,Gaultheria procumbens,4
TNCW_7SW,ME,994,MELI,Melampyrum lineare,1
TNCW_7SW,ME,994,VAAN,Vaccinium angustifolium,2
TNCW_7SW,ME,994,CAPE,Carex pensylvanica,1
TNCW_7SW,ME,992,QUIL,Quercus ilicifolia,6
TNCW_7SW,ME,992,ACRU,Acer rubrum,2
TNCW_7SW,ME,992,PRSE,Prunus serotina,1
TNCW_7SW,ME,992,ARME,Aronia melanocarpa,1
TNCW_7SW,ME,992,GAPR,Gaultheria procumbens,5
TNCW_7SW,ME,992,CAPE,Carex pensylvanica,3
TNCW_7SW,ME,992,LYBO,Lysimachia borealis,1
TNCW_7SW,ME,992,LYQU,Lysimachia quadrifolia,2
TNCW_7SW,ME,992,VAAN,Vaccinium angustifolium,3
TNCW_7SW,ME,992,PTAQ,Pteridium aquilinum,3
TNCW_7SW,ME,990,QUIL,Quercus ilicifolia,3
TNCW_7SW,ME,990,PIST,Pinus strobus,1
TNCW_7SW,ME,990,CAPE,Carex pensylvanica,5
TNCW_7SW,ME,990,GAPR,Gaultheria procumbens,3
TNCW_7SW,ME,990,VAMY,Vaccinium myrtilloides,2
TNCW_7SW,ME,990,PTAQ,Pteridium aquilinum,2
TNCW_7SW,ME,988,QUIL,Quercus ilicifolia,4
TNCW_7SW,ME,988,VAAN,Vaccinium angustifolium,4
TNCW_7SW,ME,988,CAPE,Carex pensylvanica,4
TNCW_7SW,ME,988,GABA,Gaylussacia baccata,1
TNCW_18,ME,1073,ACRU,Acer rubrum,2
TNCW_18,ME,1073,PTAQ,Pteridium aquilinum,4
TNCW_18,ME,1073,VAAN,Vaccinium angustifolium,5
TNCW_18,ME,1073,CAPE,Carex pensylvanica,4
TNCW_18,ME,1073,COPE,Comptonia peregrina,2
TNCW_18,ME,1071,QUIL,Quercus ilicifolia,3
TNCW_18,ME,1071,ACRU,Acer rubrum,2
TNCW_18,ME,1071,PRSE,Prunus serotina,1
TNCW_18,ME,1071,VAAN,Vaccinium angustifolium,5
TNCW_18,ME,1071,MICA,Maianthemum canadense,2
TNCW_18,ME,1071,LYBO,Lysimachia borealis,2
TNCW_18,ME,1071,DRIN,Dryopteris intermedia,2
TNCW_18,ME,1071,CAPE,Carex pensylvanica,3
TNCW_18,ME,1071,PTAQ,Pteridium aquilinum,3
TNCW_18,ME,1067,PTAQ,Pteridium aquilinum,7
TNCW_18,ME,1067,VAAN,Vaccinium angustifolium,5
TNCW_18,ME,1067,CAPE,Carex pensylvanica,3
TNCW_18,ME,1067,ARME,Aronia melanocarpa,2
TNCW_18,ME,1067,AMSP,Amelanchier spp.,1
TNCW_18,ME,1067,LYBO,Lysimachia borealis,1
TNCW_18,ME,1067,ACRU,Acer rubrum,1
TNCW_18,ME,1065,QUIL,Quercus ilicifolia,6
TNCW_18,ME,1065,PTAQ,Pteridium aquilinum,5
TNCW_18,ME,1065,COPE,Comptonia peregrina,3
TNCW_18,ME,1065,VAAN,Vaccinium angustifolium,4
TNCW_18,ME,1065,CAPE,Carex pensylvanica,2
TNCW_18,ME,1045,PIRI,Pinus rigida,1
TNCW_18,ME,1045,CAPE,Carex pensylvanica,7
TNCW_18,ME,1045,VAAN,Vaccinium angustifolium,3
TNCW_18,ME,1043,VAAN,Vaccinium angustifolium,5
TNCW_18,ME,1043,PTAQ,Pteridium aquilinum,4
TNCW_18,ME,1043,GAPR,Gaultheria procumbens,3
TNCW_18,ME,1043,LYBO,Lysimachia borealis,2
TNCW_18,ME,1043,CAPE,Carex pensylvanica,2
TNCW_18,ME,1041,PIRI,Pinus rigida,1
TNCW_18,ME,1041,COPE,Comptonia peregrina,4
TNCW_18,ME,1041,VAAN,Vaccinium angustifolium,7
TNCW_18,ME,1041,DEFL,Deschampsia flexuosa,2
TNCW_18,ME,1039,VAAN,Vaccinium angustifolium,4
TNCW_18,ME,1039,PTAQ,Pteridium aquilinum,5
TNCW_18,ME,1039,QUIL,Quercus ilicifolia,4
TNCW_18,ME,1039,GAPR,Gaultheria procumbens,2
TNCW_18,ME,1039,COPE,Comptonia peregrina,4
TNCW_18,ME,1039,CAPE,Carex pensylvanica,2
TNCW_18,ME,1039,LYQU,Lysimachia quadrifolia,2
TNCW_18,ME,1039,UVSE,Uvularia sessilifolia,1
TNCW_18,ME,1039,VAMY,Vaccinium myrtilloides,2
TNCW_18,ME,1039,DEFL,Deschampsia flexuosa,3
TNCW_18,ME,1039,PIRI,Pinus rigida,2
TNCW_18,ME,1039,FOUN6,Forb unknown 6,1
TNCW_18,ME,1039,POUN21,Poacaea sp. 21,1
TNCW_18,ME,1037,QUIL,Quercus ilicifolia,5
TNCW_18,ME,1037,PIRI,Pinus rigida,1
TNCW_18,ME,1037,CAPE,Carex pensylvanica,2
TNCW_18,ME,1037,VAAN,Vaccinium angustifolium,4
TNCW_18,ME,1037,PTAQ,Pteridium aquilinum,4
TNCW_18,ME,1037,GABA,Gaylussacia baccata,4
